user_id,voice_search_rating,interface_rating,recommendations_rating,survey_date,user_type
user_001,4,5,3,2024-07-01,returning
user_002,3,4,4,2024-07-02,new
user_003,5,5,5,2024-07-03,power_user
user_004,2,3,2,2024-07-04,new
user_005,4,4,4,2024-07-05,returning
user_006,5,5,4,2024-07-06,power_user
user_007,3,4,3,2024-07-07,returning
user_008,1,2,1,2024-07-08,new
user_009,4,5,4,2024-07-09,returning
user_010,5,4,5,2024-07-10,power_user
user_011,3,3,3,2024-07-11,new
user_012,4,4,4,2024-07-12,returning
user_013,2,3,2,2024-07-13,new
user_014,5,5,5,2024-07-14,power_user
user_015,4,4,3,2024-07-15,returning
user_016,3,4,4,2024-07-16,new
user_017,5,5,4,2024-07-17,power_user
user_018,4,3,4,2024-07-18,returning
user_019,2,2,3,2024-07-19,new
user_020,4,5,4,2024-07-20,returning
user_021,5,4,5,2024-07-21,power_user
user_022,3,3,3,2024-07-22,new
user_023,4,4,4,2024-07-23,returning
user_024,5,5,5,2024-07-24,power_user
user_025,3,4,3,2024-07-25,returning
